编号	唤醒词	备注标签
0001	hey Jack	正常
0002	hi Eva	清晰
0003	hey Jack	慢速
0004	hi Alice	正常
0005	hello Alex	轻声
0006	hi Tom	正常
0007	hey Lucy	清晰
0008	hello Sam	正常
0009	hi Amy	大声
0010	hey Ben	正常
0011	hello Kate	近讲
0012	hi Leo	正常
0013	hey Mia	清晰
0014	hello Max	慢速
0015	hi Zoe	正常
0016	hey Noah	远讲
0017	hello Lily	正常
0018	hi Owen	轻声
0019	hey Ella	正常
0020	hello Ryan	清晰
0021	hi Emma	正常
0022	hey Jake	疑问
0023	hello Anna	正常
0024	hi Luke	慢速
0025	hey Grace	正常
0026	hello Nick	大声
0027	hi Sara	正常
0028	hey Paul	清晰
0029	hello Nina	近讲
0030	hi Mark	正常
0031	hey Sophie	轻声
0032	hello Dave	正常
0033	hi Chloe	清晰
0034	hey Chris	正常
0035	hello Ivy	远讲
0036	hi Adam	正常
0037	hey Ruby	慢速
0038	hello Dan	正常
0039	hi Maya	清晰
0040	hey Will	正常
0041	hello Tess	轻声
0042	hi Josh	正常
0043	hey Claire	大声
0044	hello Pete	正常
0045	hi Hannah	清晰
0046	hey Scott	疑问
0047	hello Joy	正常
0048	hi Frank	近讲
0049	hey Bella	正常
0050	hello Ken	清晰
